,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
35625,2012-08-27,Maldives,Syria,2,1,Nehru Cup,New Delhi,India,True
35626,2012-08-28,India,Nepal,0,0,Nehru Cup,New Delhi,India,False
35627,2012-08-29,Cameroon,Maldives,3,1,Nehru Cup,New Delhi,India,True
35628,2012-08-30,Syria,Nepal,2,0,Nehru Cup,New Delhi,India,True
35629,2012-08-31,India,Cameroon,0,1,Nehru Cup,New Delhi,India,False
35630,2012-09-02,India,Cameroon,2,2,Nehru Cup,New Delhi,India,False
36195,2013-02-06,India,Palestine,2,4,Friendly,Kochi,India,False
36927,2013-11-15,India,Philippines,1,1,Friendly,Siliguri,India,False
36976,2013-11-19,India,Nepal,2,0,Friendly,Siliguri,India,False
37091,2014-03-05,India,Bangladesh,2,2,Friendly,Margao,India,False
37576,2014-10-06,India,Palestine,2,3,Friendly,Siliguri,India,False
37987,2015-03-12,India,Nepal,2,0,FIFA World Cup qualification,Guwahati,India,False
38225,2015-06-11,India,Oman,1,2,FIFA World Cup qualification,Bangalore,India,False
38442,2015-08-31,India,Nepal,0,0,Friendly,Pune,India,False
38561,2015-09-08,India,Iran,0,3,FIFA World Cup qualification,Bangalore,India,False
38752,2015-11-12,India,Guam,1,0,FIFA World Cup qualification,Bangalore,India,False
38898,2015-12-23,Nepal,Sri Lanka,0,1,SAFF Cup,Thiruvananthapuram,India,True
38899,2015-12-24,Afghanistan,Bangladesh,4,0,SAFF Cup,Thiruvananthapuram,India,True
38900,2015-12-24,Maldives,Bhutan,3,1,SAFF Cup,Thiruvananthapuram,India,True
38901,2015-12-25,India,Sri Lanka,2,0,SAFF Cup,Thiruvananthapuram,India,False
38902,2015-12-26,Bangladesh,Maldives,1,3,SAFF Cup,Thiruvananthapuram,India,True
38903,2015-12-26,Bhutan,Afghanistan,0,3,SAFF Cup,Thiruvananthapuram,India,True
38906,2015-12-27,India,Nepal,4,1,SAFF Cup,Thiruvananthapuram,India,False
38907,2015-12-28,Afghanistan,Maldives,4,1,SAFF Cup,Thiruvananthapuram,India,True
38908,2015-12-28,Bhutan,Bangladesh,0,3,SAFF Cup,Thiruvananthapuram,India,True
38909,2015-12-31,Afghanistan,Sri Lanka,5,0,SAFF Cup,Thiruvananthapuram,India,True
38910,2015-12-31,India,Maldives,3,2,SAFF Cup,Thiruvananthapuram,India,False
38911,2016-01-03,India,Afghanistan,2,1,SAFF Cup,Thiruvananthapuram,India,False
39067,2016-03-29,India,Turkmenistan,1,2,FIFA World Cup qualification,Kochi,India,False
39296,2016-06-07,India,Laos,6,1,AFC Asian Cup qualification,Guwahati,India,False
39475,2016-09-03,India,Puerto Rico,4,1,Friendly,Bombay,India,False
40083,2017-06-06,India,Nepal,2,0,Friendly,Bombay,India,False
40189,2017-06-13,India,Kyrgyzstan,1,0,AFC Asian Cup qualification,Bangalore,India,False
40331,2017-08-19,India,Mauritius,2,1,Friendly,Bombay,India,False
40333,2017-08-22,Mauritius,Saint Kitts and Nevis,1,1,Friendly,Bombay,India,True
40335,2017-08-24,India,Saint Kitts and Nevis,1,1,Friendly,Bombay,India,False
